"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"fs","fs","/usr/local/lib/R/site-library","1.6.6",NA,"R (>= 3.6)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"furrr","furrr","/usr/local/lib/R/site-library","0.3.1",NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"futile.logger","futile.logger","/usr/local/lib/R/site-library","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"futile.options","futile.options","/usr/local/lib/R/site-library","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"future","future","/usr/local/lib/R/site-library","1.67.0",NA,"R (>= 3.2.0)","digest, globals (>= 0.18.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.44.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.5.0"
"future.apply","future.apply","/usr/local/lib/R/site-library","1.20.0",NA,"R (>= 3.2.0), future (>= 1.49.0)","globals, parallel, utils",NA,"datasets, stats, tools, listenv, R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"gdtools","gdtools","/usr/local/lib/R/site-library","0.4.4",NA,"R (>= 4.0.0)","fontquiver (>= 0.2.0), htmltools, Rcpp (>= 0.12.12),
systemfonts (>= 1.3.1), tools","Rcpp","curl, gfonts, methods, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"generics","generics","/usr/local/lib/R/site-library","0.1.4",NA,"R (>= 3.6)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"GenomeInfoDb","GenomeInfoDb","/usr/local/lib/R/site-library","1.46.2",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.53.2), S4Vectors (>=
0.47.6), IRanges (>= 2.41.1), Seqinfo (>= 0.99.2)","stats, utils, UCSC.utils",NA,"GenomeInfoDbData, R.utils, data.table, GenomicRanges,
Rsamtools, GenomicAlignments, BSgenome, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"GenomeInfoDbData","GenomeInfoDbData","/usr/local/lib/R/site-library","1.2.15",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"GenomicAlignments","GenomicAlignments","/usr/local/lib/R/site-library","1.46.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.47.6), IRanges (>= 2.23.9), Seqinfo, GenomicRanges (>=
1.61.1), SummarizedExperiment (>= 1.39.1), Biostrings (>=
2.77.2), Rsamtools (>= 2.25.1)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel, cigarillo
(>= 0.99.2)","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, knitr, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"GenomicFeatures","GenomicFeatures","/usr/local/lib/R/site-library","1.62.0",NA,"R (>= 3.5.0), BiocGenerics (>= 0.51.2), S4Vectors (>= 0.47.6),
IRanges (>= 2.37.1), Seqinfo (>= 0.99.2), GenomicRanges (>=
1.61.1), AnnotationDbi (>= 1.41.4)","methods, utils, stats, DBI, XVector, Biostrings (>= 2.77.2),
rtracklayer (>= 1.69.1)",NA,"GenomeInfoDb, txdbmaker, org.Mm.eg.db, org.Hs.eg.db,
BSgenome, BSgenome.Hsapiens.UCSC.hg19 (>= 1.3.17),
BSgenome.Celegans.UCSC.ce11, BSgenome.Dmelanogaster.UCSC.dm3
(>= 1.3.17), FDb.UCSC.tRNAs, TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Celegans.UCSC.ce11.ensGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene (>= 2.7.1),
TxDb.Mmusculus.UCSC.mm10.knownGene (>= 3.4.7),
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,
TxDb.Hsapiens.UCSC.hg38.knownGene (>= 3.4.6),
SNPlocs.Hsapiens.dbSNP144.GRCh38, Rsamtools, pasillaBamSubset
(>= 0.0.5), GenomicAlignments (>= 1.15.7), ensembldb,
AnnotationFilter, RUnit, BiocStyle, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"GenomicRanges","GenomicRanges","/usr/local/lib/R/site-library","1.62.1",NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.53.2),
S4Vectors (>= 0.45.2), IRanges (>= 2.43.6), Seqinfo (>= 0.99.3)","utils, stats","S4Vectors, IRanges","GenomeInfoDb, Biobase, AnnotationDbi, annotate, Biostrings
(>= 2.77.2), SummarizedExperiment (>= 1.39.1), Rsamtools,
GenomicAlignments, BSgenome, GenomicFeatures, UCSC.utils,
txdbmaker, Gviz, VariantAnnotation, AnnotationHub, DESeq2,
DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGGREST, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"gert","gert","/usr/local/lib/R/site-library","2.1.5",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"GetoptLong","GetoptLong","/usr/local/lib/R/site-library","1.0.5",NA,"R (>= 3.3.0)","rjson, GlobalOptions (>= 0.1.0), methods, crayon",NA,"testthat (>= 1.0.0), knitr, markdown, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ggalluvial","ggalluvial","/usr/local/lib/R/site-library","0.12.5",NA,"R (>= 3.6), ggplot2 (>= 2.2)","stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect",NA,"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"ggbeeswarm","ggbeeswarm","/usr/local/lib/R/site-library","0.7.2",NA,"R (>= 3.5.0), ggplot2 (>= 3.3.0)","beeswarm, lifecycle, vipor, cli",NA,"gridExtra",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.5.0"
"ggbreak","ggbreak","/usr/local/lib/R/site-library","0.1.6",NA,NA,"ggfun (>= 0.1.1), grid, ggplot2, ggplotify (>= 0.0.7), aplot
(>= 0.1.5), rlang, stats, yulab.utils (>= 0.1.9)",NA,"cowplot, ggimage, knitr, patchwork, pillar, prettydoc,
rmarkdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.0"
"ggdist","ggdist","/usr/local/lib/R/site-library","3.3.3",NA,"R (>= 4.0.0)","grid, ggplot2 (>= 3.5.0), scales, rlang (>= 0.3.0), cli,
tibble, vctrs, withr, glue, gtable, distributional (>= 0.3.2),
numDeriv, quadprog, Rcpp","Rcpp","tidyselect, dplyr (>= 1.0.0), fda, posterior (>= 1.4.0),
beeswarm (>= 0.4.0), rmarkdown, knitr, testthat (>= 3.0.0),
vdiffr (>= 1.0.0), svglite (>= 2.1.0), fontquiver, sysfonts,
showtext, mvtnorm, covr, broom (>= 0.5.6), patchwork, tidyr (>=
1.0.0), ragg (>= 1.3.0), pkgdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.5.0"
"ggforce","ggforce","/usr/local/lib/R/site-library","0.5.0",NA,"ggplot2 (>= 3.5.0), R (>= 3.3.0)","grid, scales, MASS, tweenr (>= 0.1.5), gtable, rlang,
polyclip, stats, grDevices, tidyselect, withr, utils,
lifecycle, cli, vctrs, systemfonts","cpp11","sessioninfo, deldir, latex2exp, reshape2, units (>= 0.8.0),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"ggfun","ggfun","/usr/local/lib/R/site-library","0.2.0",NA,"R (>= 4.2.0)","cli, dplyr, ggplot2, grid, rlang, scales, utils, yulab.utils
(>= 0.1.6)",NA,"ggplotify, knitr, rmarkdown, prettydoc, tidyr, ggnewscale",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.0"
"ggiraph","ggiraph","/usr/local/lib/R/site-library","0.9.2",NA,NA,"cli, dplyr, gdtools (>= 0.4.4), ggplot2 (>= 4.0.0), grid,
htmltools, htmlwidgets (>= 1.5), purrr, Rcpp (>= 1.1.0), rlang,
S7 (>= 0.2.0), stats, systemfonts (>= 1.3.1), vctrs","Rcpp, systemfonts","ggbeeswarm, ggrepel (>= 0.9.1), hexbin, knitr, maps,
quantreg, rmarkdown, sf (>= 1.0), shiny, tinytest, xml2 (>=
1.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"ggnetwork","ggnetwork","/usr/local/lib/R/site-library","0.5.14",NA,"R (>= 3.5), ggplot2 (>= 2.0.0)","ggrepel (>= 0.5), network, igraph, sna, utils",NA,"knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"ggnewscale","ggnewscale","/usr/local/lib/R/site-library","0.5.2",NA,NA,"ggplot2 (>= 3.5.0)",NA,"testthat, vdiffr, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"ggplot2","ggplot2","/usr/local/lib/R/site-library","4.0.0",NA,"R (>= 4.1)","cli, grDevices, grid, gtable (>= 0.3.6), isoband, lifecycle (>
1.0.1), rlang (>= 1.1.0), S7, scales (>= 1.4.0), stats, vctrs
(>= 0.6.0), withr (>= 2.5.0)",NA,"broom, covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr,
mapproj, maps, MASS, mgcv, multcomp, munsell, nlme, profvis,
quantreg, ragg (>= 1.2.6), RColorBrewer, rmarkdown, roxygen2,
rpart, sf (>= 0.7-3), svglite (>= 2.1.2), testthat (>= 3.1.5),
tibble, vdiffr (>= 1.0.6), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ggplotify","ggplotify","/usr/local/lib/R/site-library","0.1.3",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, rlang,
yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.0"
"ggpubr","ggpubr","/usr/local/lib/R/site-library","0.6.2",NA,"R (>= 3.1.0), ggplot2 (>= 3.5.2)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"ggrastr","ggrastr","/usr/local/lib/R/site-library","1.0.2",NA,"R (>= 3.2.2)","ggplot2 (>= 2.1.0), Cairo (>= 1.5.9), ggbeeswarm, grid, png,
ragg",NA,"knitr, maps, rmarkdown, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ggrepel","ggrepel","/usr/local/lib/R/site-library","0.9.6",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"ggridges","ggridges","/usr/local/lib/R/site-library","0.5.7",NA,"R (>= 3.2)","ggplot2 (>= 3.5.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ggsci","ggsci","/usr/local/lib/R/site-library","4.1.0",NA,"R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, rlang, scales",NA,"gridExtra, knitr, ragg, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.5.0"
"ggsignif","ggsignif","/usr/local/lib/R/site-library","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ggtangle","ggtangle","/usr/local/lib/R/site-library","0.0.9",NA,"R (>= 4.1.0)","ggfun (>= 0.1.7), ggplot2, ggrepel, igraph, rlang, yulab.utils
(>= 0.1.7)",NA,"aplot, cli, ggnewscale, ggtree, knitr, prettydoc, rmarkdown,
scatterpie (>= 0.2.4)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"ggtext","ggtext","/usr/local/lib/R/site-library","0.1.2",NA,"R (>= 3.5)","ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",NA,"cowplot, dplyr, glue, knitr, rmarkdown, testthat, vdiffr",NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"ggtree","ggtree","/usr/local/lib/R/site-library","4.0.3",NA,"R (>= 4.2.0)","ape, aplot, dplyr, ggplot2 (>= 4.0.0), grid, magrittr,
methods, purrr, rlang, ggfun (>= 0.1.7), yulab.utils (>=
0.1.6), tidyr, tidytree (>= 0.4.5), treeio (>= 1.8.0), utils,
scales, stats, cli, ggiraph (>= 0.9.1)",NA,"emojifont, ggimage, ggplotify, shadowtext, grDevices, knitr,
prettydoc, rmarkdown, testthat, tibble, glue, Biostrings",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"gh","gh","/usr/local/lib/R/site-library","1.5.0",NA,"R (>= 4.1)","cli (>= 3.0.1), gitcreds, glue, httr2 (>= 1.0.6), ini,
jsonlite, lifecycle, rlang (>= 1.0.0)",NA,"connectcreds, covr, knitr, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"gitcreds","gitcreds","/usr/local/lib/R/site-library","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"GlobalOptions","GlobalOptions","/usr/local/lib/R/site-library","0.1.2",NA,"R (>= 3.3.0), methods","utils",NA,"testthat (>= 1.0.0), knitr, markdown, GetoptLong",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"globals","globals","/usr/local/lib/R/site-library","0.18.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.5.0"
"glue","glue","/usr/local/lib/R/site-library","1.8.0",NA,"R (>= 3.6)","methods",NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.5.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"GO.db","GO.db","/usr/local/lib/R/site-library","3.22.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.71.1)",NA,NA,"DBI",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"goftest","goftest","/usr/local/lib/R/site-library","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"GOSemSim","GOSemSim","/usr/local/lib/R/site-library","2.36.0",NA,"R (>= 4.2.0)","AnnotationDbi, DBI, digest, GO.db, methods, rlang, R.utils,
stats, utils, yulab.utils (>= 0.2.1)","Rcpp","AnnotationHub, BiocManager, clusterProfiler, DOSE, knitr,
org.Hs.eg.db, prettydoc, readr, rmarkdown, testthat, tidyr,
tidyselect, ROCR",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"gower","gower","/usr/local/lib/R/site-library","1.0.2",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"GPfit","GPfit","/usr/local/lib/R/site-library","1.0-9",NA,NA,"lhs (>= 0.5), lattice (>= 0.18-8)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"gplots","gplots","/usr/local/lib/R/site-library","3.2.0",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, rmarkdown, r2d2, nlme",NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"graph","graph","/usr/local/lib/R/site-library","1.88.1",NA,"R (>= 2.10), methods, BiocGenerics (>= 0.13.11)","stats, stats4, utils",NA,"SparseM (>= 0.36), XML, RBGL, RUnit, cluster, BiocStyle,
knitr","Rgraphviz","Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"GreyListChIP","GreyListChIP","/usr/local/lib/R/site-library","1.42.0",NA,"R (>= 4.0), methods, GenomicRanges","GenomicAlignments, BSgenome, Rsamtools, rtracklayer, MASS,
parallel, Seqinfo, SummarizedExperiment, stats, utils",NA,"BiocStyle, BiocGenerics, RUnit, BSgenome.Hsapiens.UCSC.hg19",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"gridBase","gridBase","/usr/local/lib/R/site-library","0.4-7",NA,"R (>= 2.3.0)","graphics, grid",NA,"lattice",NA,"GPL",NA,NA,NA,NA,"no","4.5.0"
"gridExtra","gridExtra","/usr/local/lib/R/site-library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"gridGraphics","gridGraphics","/usr/local/lib/R/site-library","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"gridtext","gridtext","/usr/local/lib/R/site-library","0.1.5",NA,"R (>= 3.5)","curl, grid, grDevices, markdown, rlang, Rcpp, png, jpeg,
stringr, xml2","Rcpp","covr, knitr, rmarkdown, testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"grr","grr","/usr/local/lib/R/site-library","0.9.5",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"GSEABase","GSEABase","/usr/local/lib/R/site-library","1.72.0",NA,"R (>= 2.6.0), BiocGenerics (>= 0.13.8), Biobase (>= 2.17.8),
annotate (>= 1.45.3), methods, graph (>= 1.37.2)","AnnotationDbi, XML",NA,"hgu95av2.db, GO.db, org.Hs.eg.db, Rgraphviz, ReportingTools,
testthat, BiocStyle, knitr, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"gson","gson","/usr/local/lib/R/site-library","0.1.0",NA,NA,"jsonlite, methods, rlang, stats, tidyr, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.0"
"GSVA","GSVA","/usr/local/lib/R/site-library","2.4.4",NA,"R (>= 4.0.0)","methods, stats, utils, graphics, parallel, BiocGenerics,
MatrixGenerics, S4Vectors, S4Arrays, HDF5Array, SparseArray,
DelayedArray, IRanges, Biobase, SummarizedExperiment, GSEABase,
Matrix (>= 1.5-0), BiocParallel, SingleCellExperiment,
BiocSingular, SpatialExperiment, sparseMatrixStats, cli, memuse","cli","RUnit, BiocStyle, knitr, rmarkdown, limma, RColorBrewer,
org.Hs.eg.db, genefilter, edgeR, GSVAdata, sva, TENxPBMCData,
TENxVisiumData, scuttle, scran, igraph, shiny, shinydashboard,
ggplot2, data.table, plotly, future, promises, shinybusy,
shinyjs",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"gtable","gtable","/usr/local/lib/R/site-library","0.3.6",NA,"R (>= 4.0)","cli, glue, grid, lifecycle, rlang (>= 1.1.0), stats",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"gtools","gtools","/usr/local/lib/R/site-library","3.9.5",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"Gviz","Gviz","/usr/local/lib/R/site-library","1.54.0",NA,"R (>= 4.3), methods, S4Vectors (>= 0.9.25), IRanges (>=
1.99.18), GenomicRanges (>= 1.61.1), grid","XVector (>= 0.5.7), rtracklayer (>= 1.69.1), lattice,
RColorBrewer, biomaRt (>= 2.11.0), AnnotationDbi (>= 1.27.5),
Biobase (>= 2.15.3), GenomicFeatures (>= 1.61.4), ensembldb (>=
2.11.3), BSgenome (>= 1.77.1), Biostrings (>= 2.77.2),
biovizBase (>= 1.13.8), Rsamtools (>= 2.25.1), latticeExtra (>=
0.6-26), matrixStats (>= 0.8.14), GenomicAlignments (>=
1.45.1), Seqinfo, GenomeInfoDb, BiocGenerics (>= 0.11.3),
digest(>= 0.6.8), graphics, grDevices, stats, utils",NA,"BSgenome.Hsapiens.UCSC.hg19, xml2, BiocStyle, knitr,
rmarkdown, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"gypsum","gypsum","/usr/local/lib/R/site-library","1.6.0",NA,NA,"utils, httr2, jsonlite, parallel, filelock, rappdirs",NA,"knitr, rmarkdown, testthat, BiocStyle, digest, jsonvalidate,
DBI, RSQLite, S4Vectors, methods",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"h5mread","h5mread","/usr/local/lib/R/site-library","1.2.1",NA,"R (>= 4.5), methods, rhdf5, BiocGenerics, SparseArray","stats, tools, rhdf5filters, S4Vectors, IRanges, S4Arrays","Rhdf5lib, S4Vectors","BiocParallel, ExperimentHub, TENxBrainData, HDF5Array,
testthat, knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"hardhat","hardhat","/usr/local/lib/R/site-library","1.4.2",NA,"R (>= 4.1)","cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), sparsevctrs
(>= 0.2.0), tibble (>= 3.2.1), vctrs (>= 0.6.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5), withr (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"harmony","harmony","/usr/local/lib/R/site-library","1.2.4",NA,"R(>= 3.5.0), Rcpp","dplyr, cowplot, ggplot2, Matrix, methods, tibble, rlang,
RhpcBLASctl","Rcpp, RcppArmadillo, RcppProgress","SingleCellExperiment, Seurat (>= 4.1.1), testthat, knitr,
rmarkdown, ggthemes, ggrepel, patchwork, tidyverse, tidyr,
data.table",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"HDF5Array","HDF5Array","/usr/local/lib/R/site-library","1.38.0",NA,"R (>= 3.4), methods, SparseArray (>= 1.7.5), DelayedArray (>=
0.33.5), h5mread (>= 0.99.4)","utils, stats, tools, Matrix, BiocGenerics (>= 0.51.2),
S4Vectors, IRanges, S4Arrays (>= 1.1.1), rhdf5",NA,"BiocParallel, GenomicRanges, SummarizedExperiment (>=
1.15.1), h5vcData, ExperimentHub, TENxBrainData, zellkonverter,
GenomicFeatures, SingleCellExperiment, DelayedMatrixStats,
genefilter, RSpectra, RUnit, knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"here","here","/usr/local/lib/R/site-library","1.0.2",NA,NA,"rprojroot (>= 2.1.0)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"hexbin","hexbin","/usr/local/lib/R/site-library","1.28.5",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"highr","highr","/usr/local/lib/R/site-library","0.11",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.5.0"
"Hmisc","Hmisc","/usr/local/lib/R/site-library","5.2-4",NA,"R (>= 4.2.0)","methods, ggplot2, cluster, rpart, nnet, foreign, gtable, grid,
gridExtra, data.table, htmlTable (>= 1.11.0), viridisLite,
htmltools, base64enc, colorspace, rmarkdown, knitr, Formula",NA,"survival, qreport, acepack, chron, rms, mice, rstudioapi,
tables, plotly (>= 4.5.6), rlang, VGAM, leaps, pcaPP, digest,
parallel, polspline, abind, kableExtra, rio, lattice,
latticeExtra, gt, sparkline, jsonlite, htmlwidgets, qs,
getPass, keyring, safer, htm2txt, boot",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"hms","hms","/usr/local/lib/R/site-library","1.1.4",NA,NA,"cli, lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs
(>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
